CI.KML.HH,33.59738,-117.87909,9.0,314801000.0,314801000.0,314801000.0,2022-06-29,2599-12-31
CI.KYV.HH,33.92545,-116.1734,1497.0,629601462.9,629601462.9,629601462.9,2023-02-01,2599-12-31
CI.LKH.HH,33.23598,-116.75876,847.0,629601000.0,629601000.0,629601000.0,2022-11-16,2599-12-31
CI.LLS.HH,33.68447,-117.94304,8.0,629865000.0,629865000.0,629865000.0,2000-02-01,2599-12-31
CI.LMH.HH,33.74418,-117.39135,496.0,629865000.0,629865000.0,629865000.0,2017-10-11,2599-12-31
CI.LMS.HH,33.81744,-117.445,443.0,629865000.0,629865000.0,629865000.0,2014-08-07,2599-12-31
CI.LUC2.HH,34.45638,-116.96423,886.0,629601000.0,629601000.0,629601000.0,2012-09-06,2599-12-31
CI.LUG.HH,34.3656,-117.36683,1140.0,629536560.4,629536560.4,629536560.4,1998-01-28,2599-12-31
CI.LUS.HH,33.01375,-117.16305,120.0,314768000.0,314768000.0,314768000.0,2018-06-01,2599-12-31
CI.LYP.HH,32.70333,-116.7548,886.0,314801000.0,314801000.0,314801000.0,2022-09-28,2599-12-31
CI.MCT.HH,34.22645,-116.04073,661.0,629537000.0,629537000.0,629537000.0,2001-01-24,2599-12-31
CI.MGE.HH,33.81841,-116.36874,68.0,629865000.0,629865000.0,629865000.0,1999-10-16,2599-12-31
CI.MLS.HH,34.0046,-117.56162,230.0,629865000.0,629865000.0,629865000.0,1998-03-05,2599-12-31
CI.MNO.HH,33.94738,-117.17278,564.0,314801000.0,314801000.0,314801000.0,2022-06-01,2599-12-31
CI.MOR.HH,33.50388,-117.13993,331.0,314801000.0,314801000.0,314801000.0,2022-08-02,2599-12-31
CI.MSC.HH,34.03852,-116.64795,938.0,629865000.0,629865000.0,629865000.0,2009-04-22,2599-12-31
CI.MSJ.HH,33.80801,-116.96789,466.0,629601000.0,629601000.0,629601000.0,1999-07-27,2599-12-31
CI.MTA.HH,33.42654,-117.37927,785.0,314801000.0,314801000.0,314801000.0,2022-07-06,2599-12-31
CI.MTG.HH,33.19915,-116.64727,1092.0,629536560.4,629536560.4,629536560.4,2020-07-16,2599-12-31
CI.MUR.HH,33.59999,-117.19543,562.0,629601000.0,629601000.0,629601000.0,2023-04-26,2599-12-31
CI.NBS.HH,34.78035,-116.55798,590.0,629601462.9,629601462.9,629601462.9,2025-12-04,2599-12-31
CI.NSS2.HH,33.55553,-115.94586,17.0,629536560.4,629536560.4,629536560.4,2021-08-19,2599-12-31
CI.OCP.HH,32.74755,-116.01931,155.0,314801000.0,314801000.0,314801000.0,2022-07-13,2599-12-31
CI.OLI.HH,33.94539,-117.92372,162.0,629865000.0,629865000.0,629865000.0,1999-11-23,2599-12-31
CI.OLP.HH,32.60771,-116.93019,159.0,629865000.0,629865000.0,629865000.0,2001-01-10,2599-12-31
CI.PALA.HH,33.38905,-117.03182,552.0,629865000.0,629865000.0,629865000.0,2014-08-12,2599-12-31
CI.PDU.HH,34.1207,-117.63808,445.0,629865000.0,629865000.0,629865000.0,1999-10-16,2599-12-31
CI.PER.HH,33.86164,-117.20529,468.0,622046000.0,624565000.0,624565000.0,2003-05-21,2599-12-31
CI.PGA.HH,33.4914,-117.0635,351.0,314801000.0,314801000.0,314801000.0,2022-02-16,2599-12-31
CI.PLM.HH,33.35361,-116.86265,1690.0,629601000.0,629601000.0,629601000.0,2024-02-28,2599-12-31
CI.PLR.HH,33.17349,-115.97774,54.0,629601462.9,629601462.9,629601462.9,2022-02-03,2599-12-31
CI.PLS.HH,33.7953,-117.60906,1199.0,624238000.0,624238000.0,624238000.0,1996-12-20,2599-12-31
CI.PMD.HH,33.64785,-116.37769,296.0,629865000.0,629865000.0,629865000.0,2005-05-07,2599-12-31
CI.POB2.HH,33.68708,-116.92382,999.0,629865078.5,629865078.5,629865078.5,2014-05-21,2599-12-31
CI.PSD.HH,33.82393,-116.55026,144.0,629865000.0,629865000.0,629865000.0,2005-04-13,2599-12-31
CI.PSR.HH,34.09181,-117.80709,305.0,629601000.0,629601000.0,629601000.0,2005-09-14,2599-12-31
CI.RAG.HH,34.68289,-116.15139,722.0,624238051.8000001,624238051.8000001,624238051.8000001,2014-03-18,2599-12-31
CI.RCR.HH,33.36237,-116.3096,193.0,314801000.0,314801000.0,314801000.0,2023-12-05,2599-12-31
CI.RHC2.HH,34.00088,-118.01336,362.0,629601462.9,629601462.9,629601462.9,2024-03-28,2599-12-31
CI.RHR.HH,33.29021,-117.17648,172.0,314801000.0,314801000.0,314801000.0,2023-05-18,2599-12-31
CI.RKMO.HH,33.67421,-117.60947,405.0,629865078.5,629865078.5,629865078.5,2019-03-01,2599-12-31
